Data,n_buscas
2023-07-23,75
2023-07-30,75
2023-08-06,76
2023-08-13,69
2023-08-20,70
2023-08-27,65
2023-09-03,68
2023-09-10,70
2023-09-17,64
2023-09-24,65
2023-10-01,71
2023-10-08,74
2023-10-15,73
2023-10-22,66
2023-10-29,72
2023-11-05,77
2023-11-12,79
2023-11-19,92
2023-11-26,78
2023-12-03,85
2023-12-10,100
2023-12-17,95
2023-12-24,89
2023-12-31,70
2024-01-07,66
2024-01-14,67
2024-01-21,67
2024-01-28,64
2024-02-04,64
2024-02-11,60
2024-02-18,63
2024-02-25,73
2024-03-03,73
2024-03-10,73
2024-03-17,74
2024-03-24,71
2024-03-31,68
2024-04-07,72
2024-04-14,68
2024-04-21,77
2024-04-28,76
2024-05-05,86
2024-05-12,80
2024-05-19,76
2024-05-26,80
2024-06-02,88
2024-06-09,99
2024-06-16,75
2024-06-23,74
2024-06-30,76
2024-07-07,81
2024-07-14,79
2024-07-21,77
