date,sales,promotion
2020-01-01,194,0
2020-01-02,201,0
2020-01-03,214,0
2020-01-04,192,0
2020-01-05,200,0
2020-01-06,183,1
2020-01-07,214,0
2020-01-08,210,1
2020-01-09,203,0
2020-01-10,193,1
2020-01-11,210,0
2020-01-12,193,0
2020-01-13,208,0
2020-01-14,178,0
2020-01-15,174,0
2020-01-16,197,0
2020-01-17,218,1
2020-01-18,206,0
2020-01-19,197,1
2020-01-20,182,1
2020-01-21,219,0
2020-01-22,212,0
2020-01-23,207,0
2020-01-24,153,0
2020-01-25,209,0
2020-01-26,201,1
2020-01-27,209,1
2020-01-28,187,0
2020-01-29,192,0
2020-01-30,202,0
2020-01-31,191,0
2020-02-01,215,1
2020-02-02,227,0
2020-02-03,202,0
2020-02-04,214,0
2020-02-05,216,0
2020-02-06,213,0
2020-02-07,185,0
2020-02-08,193,1
2020-02-09,216,0
2020-02-10,205,0
2020-02-11,203,0
2020-02-12,198,0
2020-02-13,195,0
2020-02-14,216,0
2020-02-15,200,0
2020-02-16,225,0
2020-02-17,215,0
2020-02-18,205,0
2020-02-19,199,0
2020-02-20,196,1
2020-02-21,208,0
2020-02-22,208,0
2020-02-23,202,0
2020-02-24,230,1
2020-02-25,202,0
2020-02-26,187,0
2020-02-27,176,0
2020-02-28,199,0
2020-02-29,205,0
2020-03-01,224,1
2020-03-02,197,0
2020-03-03,201,1
2020-03-04,225,1
2020-03-05,196,0
2020-03-06,195,0
2020-03-07,190,0
2020-03-08,203,1
2020-03-09,201,0
2020-03-10,202,0
2020-03-11,195,0
2020-03-12,195,0
2020-03-13,175,0
2020-03-14,217,0
2020-03-15,215,0
2020-03-16,193,0
2020-03-17,205,0
2020-03-18,188,1
2020-03-19,194,0
2020-03-20,208,0
2020-03-21,212,0
2020-03-22,206,0
2020-03-23,198,0
2020-03-24,190,0
2020-03-25,193,0
2020-03-26,205,0
2020-03-27,184,0
2020-03-28,194,1
2020-03-29,214,0
2020-03-30,201,0
2020-03-31,221,0
2020-04-01,202,1
2020-04-02,209,0
2020-04-03,208,0
2020-04-04,206,0
2020-04-05,198,0
2020-04-06,224,1
2020-04-07,190,0
2020-04-08,188,1
2020-04-09,207,1
2020-04-10,211,0
2020-04-11,207,0
2020-04-12,175,0
2020-04-13,206,0
2020-04-14,189,1
2020-04-15,224,0
2020-04-16,219,0
2020-04-17,189,0
2020-04-18,197,0
2020-04-19,184,0
2020-04-20,207,0
2020-04-21,193,1
2020-04-22,175,0
2020-04-23,209,0
2020-04-24,210,0
2020-04-25,201,0
2020-04-26,215,0
2020-04-27,226,0
2020-04-28,202,0
2020-04-29,186,0
2020-04-30,201,0
2020-05-01,207,0
2020-05-02,232,0
2020-05-03,201,1
2020-05-04,192,0
2020-05-05,176,0
2020-05-06,168,0
2020-05-07,210,0
2020-05-08,187,1
2020-05-09,204,0
2020-05-10,186,0
2020-05-11,214,0
2020-05-12,215,0
2020-05-13,201,1
2020-05-14,194,0
2020-05-15,178,0
2020-05-16,171,0
2020-05-17,200,0
2020-05-18,215,0
2020-05-19,201,1
2020-05-20,189,0
2020-05-21,191,0
2020-05-22,215,0
2020-05-23,192,0
2020-05-24,187,0
2020-05-25,177,0
2020-05-26,209,0
2020-05-27,225,0
2020-05-28,209,0
2020-05-29,193,0
2020-05-30,192,0
2020-05-31,208,0
2020-06-01,200,0
2020-06-02,203,1
2020-06-03,205,0
2020-06-04,213,0
2020-06-05,211,0
2020-06-06,203,0
2020-06-07,204,0
2020-06-08,207,0
2020-06-09,208,1
2020-06-10,189,0
2020-06-11,194,1
2020-06-12,221,1
2020-06-13,211,1
2020-06-14,211,0
2020-06-15,204,1
2020-06-16,191,0
2020-06-17,193,0
2020-06-18,184,0
2020-06-19,201,0
2020-06-20,224,0
2020-06-21,196,0
2020-06-22,203,0
2020-06-23,186,0
2020-06-24,204,0
2020-06-25,192,0
2020-06-26,191,0
2020-06-27,194,1
2020-06-28,206,0
2020-06-29,200,0
2020-06-30,184,0
2020-07-01,202,0
2020-07-02,234,0
2020-07-03,191,0
2020-07-04,186,0
2020-07-05,205,0
2020-07-06,197,0
2020-07-07,203,0
2020-07-08,217,0
2020-07-09,186,0
2020-07-10,209,0
2020-07-11,209,0
2020-07-12,193,0
2020-07-13,209,0
2020-07-14,209,0
2020-07-15,197,0
2020-07-16,187,0
2020-07-17,197,0
2020-07-18,194,0
2020-07-19,209,0
2020-07-20,190,0
2020-07-21,197,0
2020-07-22,205,0
2020-07-23,201,0
2020-07-24,182,1
2020-07-25,180,0
2020-07-26,203,1
2020-07-27,195,0
2020-07-28,184,0
2020-07-29,198,0
2020-07-30,211,1
2020-07-31,181,0
2020-08-01,197,0
2020-08-02,196,0
2020-08-03,205,0
2020-08-04,198,0
2020-08-05,211,0
2020-08-06,234,1
2020-08-07,208,0
2020-08-08,192,1
2020-08-09,216,0
2020-08-10,195,0
2020-08-11,212,0
2020-08-12,207,0
2020-08-13,218,1
2020-08-14,197,0
2020-08-15,199,0
2020-08-16,207,1
2020-08-17,174,0
2020-08-18,176,0
2020-08-19,189,0
2020-08-20,221,0
2020-08-21,195,0
2020-08-22,207,1
2020-08-23,190,0
2020-08-24,218,0
2020-08-25,192,0
2020-08-26,188,0
2020-08-27,204,0
2020-08-28,208,0
2020-08-29,210,0
2020-08-30,202,1
2020-08-31,204,0
2020-09-01,178,0
2020-09-02,195,0
2020-09-03,201,0
2020-09-04,204,0
2020-09-05,214,0
2020-09-06,205,1
2020-09-07,219,0
2020-09-08,173,0
2020-09-09,210,0
2020-09-10,198,0
2020-09-11,177,0
2020-09-12,202,0
2020-09-13,199,0
2020-09-14,177,1
2020-09-15,184,0
2020-09-16,190,0
2020-09-17,203,0
2020-09-18,184,0
2020-09-19,176,0
2020-09-20,199,0
2020-09-21,212,0
2020-09-22,203,0
2020-09-23,198,0
2020-09-24,216,0
2020-09-25,174,0
2020-09-26,203,0
2020-09-27,186,1
2020-09-28,184,1
2020-09-29,209,0
2020-09-30,173,0
2020-10-01,186,0
2020-10-02,172,0
2020-10-03,210,0
2020-10-04,186,0
2020-10-05,188,0
2020-10-06,203,1
2020-10-07,199,1
2020-10-08,220,0
2020-10-09,185,0
2020-10-10,184,0
2020-10-11,208,1
2020-10-12,199,0
2020-10-13,187,0
2020-10-14,206,1
2020-10-15,193,0
2020-10-16,194,1
2020-10-17,165,1
2020-10-18,201,0
2020-10-19,198,0
2020-10-20,175,0
2020-10-21,239,0
2020-10-22,192,0
2020-10-23,206,0
2020-10-24,191,0
2020-10-25,193,0
2020-10-26,191,0
2020-10-27,221,1
2020-10-28,197,0
2020-10-29,226,0
2020-10-30,210,1
2020-10-31,218,0
2020-11-01,198,1
2020-11-02,202,1
2020-11-03,194,0
2020-11-04,191,0
2020-11-05,168,0
2020-11-06,194,0
2020-11-07,214,0
2020-11-08,209,0
2020-11-09,199,0
2020-11-10,200,0
2020-11-11,191,0
2020-11-12,206,0
2020-11-13,173,1
2020-11-14,203,0
2020-11-15,192,0
2020-11-16,203,0
2020-11-17,185,0
2020-11-18,195,0
2020-11-19,195,0
2020-11-20,196,0
2020-11-21,200,0
2020-11-22,208,1
2020-11-23,206,0
2020-11-24,177,1
2020-11-25,182,1
2020-11-26,203,0
2020-11-27,199,0
2020-11-28,204,0
2020-11-29,214,0
2020-11-30,200,0
2020-12-01,220,0
2020-12-02,184,0
2020-12-03,175,0
2020-12-04,214,0
2020-12-05,186,0
2020-12-06,208,0
2020-12-07,215,1
2020-12-08,193,0
2020-12-09,183,1
2020-12-10,221,0
2020-12-11,193,0
2020-12-12,178,0
2020-12-13,192,0
